link,street,city,state,zip,year,price
https://www.trulia.com/property/3268746468-183-Halladay-St-Jersey-City-NJ-07304,183 Halladay St,Jersey City,NJ,7304,n/a,"435,000"
https://www.trulia.com/property/3268740408-15-Emory-St-Jersey-City-NJ-07304,15 Emory St,Jersey City,NJ,7304,n/a,"629,000"
https://www.trulia.com/property/3268762778-63-Terhune-Ave-63-Terhune-Ave-Jersey-City-NJ-07305,63 Terhune Ave 63 Terhune Ave,Jersey City,NJ,7305,n/a,"281,004"
https://www.trulia.com/property/3268758408-122-Cherry-St-122-Cherry-St-Jersey-City-NJ-07305,122 Cherry St 122 Cherry St,Jersey City,NJ,7305,n/a,"261,510"
https://www.trulia.com/property/3268758352-209-Grant-Ave-209-Grant-Ave-Jersey-City-NJ-07305,209 Grant Ave 209 Grant Ave,Jersey City,NJ,7305,1916,"216,755"
https://www.trulia.com/property/3262040748-129-Fulton-Ave-129-Fulton-Ave-Jersey-City-NJ-07305,129 Fulton Ave 129 Fulton Ave,Jersey City,NJ,7305,2006,"348,772"
https://www.trulia.com/property/3268746223-51-5-Gardner-Ave-Jersey-City-NJ-07304,51.5 Gardner Ave,Jersey City,NJ,7304,1900,"320,635"
https://www.trulia.com/property/3262848113-982-W-Side-Ave-982-W-Side-Ave-Jersey-City-NJ-07306,982 W Side Ave 982 W Side Ave,Jersey City,NJ,7306,n/a,"331,577"
https://www.trulia.com/property/3259813016-64-Warner-Ave-64-Warner-Ave-Jersey-City-NJ-07305,64 Warner Ave 64 Warner Ave,Jersey City,NJ,7305,n/a,"137,385"
https://www.trulia.com/property/3268760873-319-Van-Nostrand-Ave-319-Van-Nostrand-Ave-Jersey-City-NJ-07305,319 Van Nostrand Ave 319 Van Nostrand Ave,Jersey City,NJ,7305,n/a,"246,964"
https://www.trulia.com/property/3262710092-223-Ogden-Ave-Jersey-City-NJ-07307,223 Ogden Ave,Jersey City,NJ,7307,1880,"570,000"
https://www.trulia.com/property/3262875817-187-Wayne-St-401-C-Jersey-City-NJ-07302,187 Wayne St #401 C,Jersey City,NJ,7302,n/a,"585,000"
