link,street,city,state,zip,square_feet,price,bedrooms,bathroom,type
https://www.trulia.com/property/3262710092-223-Ogden-Ave-Jersey-City-NJ-07307,223 Ogden Ave,Jersey City,NJ,7307,1656.0,570000.0,3 Bedrooms,1 full Bathroom,Single-Family Home
https://www.trulia.com/property/3262875817-187-Wayne-St-401-C-Jersey-City-NJ-07302,187 Wayne St #401 C,Jersey City,NJ,7302,815.0,585000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3053415607-270-Harrison-Ave-306-Jersey-City-NJ-07304,270 Harrison Ave #306,Jersey City,NJ,7304,655.0,139000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3170111903-149-Essex-St-3N-Jersey-City-NJ-07302,149 Essex St #3N,Jersey City,NJ,7302,704.0,549000.0,1 Bedroom,2 full Bathrooms,Condo
https://www.trulia.com/property/3262710901-120-Lincoln-St-Jersey-City-NJ-07307,120 Lincoln St,Jersey City,NJ,7307,1200.0,399999.0,3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262747131-75-Fairview-Ave-34-Jersey-City-NJ-07304,75 Fairview Ave #34,Jersey City,NJ,7304,941.0,250000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262637786-38-Holly-St-Jersey-City-NJ-07305,38 Holly St,Jersey City,NJ,7305,1367.0,325000.0,3 Bedrooms,2 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3263061986-72-Jefferson-Ave-2F-Jersey-City-NJ-07306,72 Jefferson Ave #2F,Jersey City,NJ,7306,600.0,220000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262786688-225-Saint-Pauls-Ave-3G-Jersey-City-NJ-07306,225 Saint Pauls Ave #3G,Jersey City,NJ,7306,976.0,359000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3003547826-464-Central-Ave-B8-Jersey-City-NJ-07307,464 Central Ave #B8,Jersey City,NJ,7307,700.0,259000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3262832084-202-Warren-St-1-Jersey-City-NJ-07302,202 Warren St #1,Jersey City,NJ,7302,822.0,549000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3263104032-357-Varick-St-426-Jersey-City-NJ-07302,357 Varick St #426,Jersey City,NJ,7302,1250.0,739000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3045124167-307-4th-St-1-Jersey-City-NJ-07302,307 4th St #1,Jersey City,NJ,7302,2082.0,1549000.0,3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3268574848-1209-Summit-Ave-Jersey-City-NJ-07307,1209 Summit Ave,Jersey City,NJ,7307,1676.0,399000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3268698136-700-Grove-St-5J-Jersey-City-NJ-07310,700 Grove St #5J,Jersey City,NJ,7310,1300.0,670000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3105370675-10-Regent-St-410-Jersey-City-NJ-07302,10 Regent St #410,Jersey City,NJ,7302,760.0,580000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3262947477-2600-John-F-Kennedy-Blvd-4J-Jersey-City-NJ-07306,2600 John F Kennedy Blvd #4J,Jersey City,NJ,7306,988.0,230000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3111083590-132-Coles-St-1-Jersey-City-NJ-07302,132 Coles St #1,Jersey City,NJ,7302,657.0,450000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262816688-88-Morgan-St-906-Jersey-City-NJ-07302,88 Morgan St #906,Jersey City,NJ,7302,1203.0,999888.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3039415415-67-Bright-St-1-Jersey-City-NJ-07302,67 Bright St #1,Jersey City,NJ,7302,849.0,619000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260697073-149-Bentley-Ave-C2-Jersey-City-NJ-07304,149 Bentley Ave #C2,Jersey City,NJ,7304,1064.0,289000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260654174-135-Montgomery-St-4I-Jersey-City-NJ-07302,135 Montgomery St #4I,Jersey City,NJ,7302,701.0,499000.0,2 Bedrooms,1 full Bathroom,Coop
https://www.trulia.com/property/3262350046-1209-Summit-Ave-410-Jersey-City-NJ-07307,1209 Summit Ave #410,Jersey City,NJ,7307,1676.0,399000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3260716498-417-Ogden-Ave-2-Jersey-City-NJ-07307,417 Ogden Ave #2,Jersey City,NJ,7307,1246.0,709000.0,3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3193172817-167-Wayne-St-207-Jersey-City-NJ-07302,167 Wayne St #207,Jersey City,NJ,7302,1055.0,775000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262126758-260-Harrison-Ave-501-Jersey-City-NJ-07304,260 Harrison Ave #501,Jersey City,NJ,7304,617.0,185000.0,1 Bedroom,1 full Bathroom,Condo
