city,square_feet,price,type
0,372,56000,1
2,387,114000,0
0,1100,115000,1
1,851,125000,1
2,600,125000,0
2,851,125000,0
2,851,125000,0
2,851,125000,1
2,851,125000,1
2,851,125000,1
2,851,125000,1
2,851,125000,1
2,851,125000,1
2,851,125000,1
2,851,125000,1
2,851,125000,1
2,851,125000,1
1,851,125000,1
1,851,125000,1
1,851,125000,1
1,851,125000,1
1,851,125000,1
1,851,125000,1
1,851,125000,1
1,851,125000,1
1,761,129000,0
0,701,129000,1
0,766,130000,1
1,655,139000,0
0,759,139000,1
0,510,140000,1
1,394,149000,1
1,501,149000,1
1,734,150000,0
0,1440,150000,1
1,650,155000,0
1,853,169900,1
0,643,169900,1
0,853,169900,0
0,618,174900,1
0,501,175000,0
1,825,177851,0
2,825,177851,0
2,825,177851,0
2,825,177851,1
2,825,177851,1
2,825,177851,1
2,825,177851,1
2,825,177851,1
2,825,177851,1
2,825,177851,1
2,825,177851,1
2,825,177851,1
2,825,177851,1
1,825,177851,1
1,825,177851,1
1,825,177851,1
1,825,177851,1
1,825,177851,1
1,825,177851,1
1,825,177851,1
1,825,177851,1
1,617,185000,0
0,742,185000,1
0,714,185000,1
0,820,185000,1
2,617,185000,0
0,644,189000,1
1,700,198000,1
2,520,199000,0
1,1450,205000,1
0,964,209000,1
0,646,209000,1
1,600,220000,0
2,600,220000,0
2,600,220000,0
2,600,220000,1
2,600,220000,1
2,600,220000,1
2,600,220000,1
2,600,220000,1
2,600,220000,1
2,600,220000,1
2,600,220000,1
2,600,220000,1
2,600,220000,1
1,600,220000,1
1,600,220000,1
1,600,220000,1
1,600,220000,1
1,600,220000,1
1,600,220000,1
1,600,220000,1
1,600,220000,0
2,630,224900,0
0,600,225000,0
2,700,225000,0
1,1170,229000,0
1,988,230000,0
2,751,230000,0
0,766,234000,1
0,1200,234000,1
1,1300,239000,0
1,684,245000,1
0,988,249000,1
1,941,250000,0
1,800,250000,1
0,640,256000,1
1,700,259000,0
0,675,260000,1
2,1740,262500,0
1,1000,265000,1
0,716,265000,1
1,750,269000,0
1,800,274000,1
1,1373,274900,0
0,708,279000,1
1,1300,284900,1
1,1064,289000,0
1,888,289000,0
0,2500,290000,1
1,800,299000,1
0,764,299000,1
0,1100,299900,0
0,1875,304900,1
0,1271,305000,1
1,795,309000,0
1,1310,315000,1
1,830,315000,1
0,1171,315000,1
1,1367,325000,0
1,600,329000,1
1,906,330000,1
1,1398,334900,1
2,1415,339000,0
0,2500,340000,1
1,770,346500,1
2,875,349000,0
0,888,350000,1
0,778,350000,1
0,862,355000,1
1,976,359000,0
0,1064,364000,1
0,989,364900,1
0,765,365000,1
0,755,365000,1
0,993,365000,0
2,993,365000,0
2,993,365000,0
2,993,365000,1
2,993,365000,1
2,993,365000,1
2,993,365000,1
2,993,365000,1
2,993,365000,1
2,993,365000,1
2,993,365000,1
2,993,365000,1
2,993,365000,1
1,993,365000,1
1,993,365000,1
1,993,365000,1
1,993,365000,1
1,993,365000,1
1,993,365000,1
1,993,365000,1
1,993,365000,1
0,1002,369000,1
0,1230,369000,1
1,1554,369900,1
0,741,369900,1
2,1398,372000,0
1,1035,375000,1
0,1160,375000,1
1,950,375597,1
0,1091,379000,1
1,1091,379900,1
2,3000,379900,0
1,918,398888,0
1,1676,399000,0
1,1676,399000,0
1,1200,399000,1
1,1200,399999,0
1,750,400000,1
0,1000,409000,1
1,575,415000,1
0,662,415000,1
1,1400,418000,0
1,1350,419000,1
0,650,419000,1
0,661,419999,1
1,575,420000,0
0,1106,425000,1
0,1440,425000,1
2,925,425000,0
2,670,425000,0
1,1264,429000,1
0,888,435000,1
2,1352,439000,0
2,2400,439900,0
2,796,445000,0
2,796,445500,0
1,1457,449000,1
0,525,449000,1
0,1444,449000,1
2,1457,449000,0
2,1457,449000,0
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
2,1457,449000,1
1,1457,449000,1
1,1457,449000,1
1,1457,449000,1
1,1457,449000,1
1,1457,449000,1
1,1457,449000,1
1,1457,449000,1
1,657,450000,0
1,600,450000,1
0,550,459000,0
0,812,459000,0
2,542,465000,0
0,849,469000,0
1,1280,470000,0
1,1367,475000,1
1,709,475000,1
0,833,475000,1
0,812,479000,1
0,809,479000,0
0,1676,480000,1
2,1035,480000,0
0,1100,484900,1
0,809,495000,1
1,701,499000,0
1,787,499000,0
1,1006,499000,1
0,750,499000,1
0,568,499500,1
2,1988,499999,0
1,1052,529000,1
1,1157,529000,1
0,1716,529000,1
0,1866,532000,1
1,807,539000,0
0,1866,544500,1
2,1866,544500,0
1,704,549000,0
1,822,549000,0
2,2180,549900,0
0,1780,550000,1
1,1510,559000,1
1,1656,570000,0
1,911,572000,0
0,705,575000,1
2,975,575000,0
2,975,575000,0
2,975,575000,0
2,975,575000,1
2,975,575000,1
2,975,575000,1
2,975,575000,1
2,975,575000,1
2,975,575000,1
