street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
14 S Woodside Ave,7621,Bergenfield,NJ,Bergen,40.927623,-73.991965,SingleFamily,2015,282489,1950,NA,1120,2,3,5/3/17,425000,44137,city,Bergenfield
6 Sherwood Rd,7628,Dumont,NJ,Bergen,40.947162,-73.99576,SingleFamily,2015,305902,1900,8350,1436,3,4,5/2/17,505000,17827,city,Dumont
514 Roff Ave,7650,PALISADES PARK,NJ,Bergen,40.85059,-73.990288,MultiFamily2To4,2015,438351,NA,NA,NA,8,8,5/2/17,755000,19819,city,Palisades Park
352 Edstan Way,7652,Paramus,NJ,Bergen,40.939427,-74.043964,SingleFamily,2015,376574,1950,NA,1408,NA,NA,5/2/17,429000,46984,city,Paramus
11 Emily Ct,7627,Demarest,NJ,Bergen,40.958667,-73.951128,SingleFamily,2015,1333215,1970,24598,3396,4,5,5/2/17,1350000,44903,city,Demarest
95 Melville Rd,7642,Hillsdale,NJ,Bergen,41.008734,-74.075814,SingleFamily,2015,679415,1964,15681,2568,4,5,5/2/17,740000,5169,city,Hillsdale
323 Grant Ave,7628,Dumont,NJ,Bergen,40.947391,-73.976473,SingleFamily,2015,309996,1940,5898,1392,2,3,5/1/17,367000,17827,city,Dumont
160 Overlook Ave APT 12D,7601,Hackensack,NJ,Bergen,40.888007,-74.054469,Condominium,2015,199394,1986,222,NA,1,1,5/1/17,200000,38835,city,Hackensack
1595 Anderson Ave,7024,Fort Lee,NJ,Bergen,40.851947,-73.97631,SingleFamily,2016,409141,1947,6612,1434,NA,NA,5/1/17,618000,11491,city,Fort Lee
92 Elmwood Ave,7423,Ho Ho Kus,NJ,Bergen,40.999451,-74.106534,SingleFamily,2015,657561,1950,NA,1814,2,3,5/1/17,707000,25143,city,Ho Ho Kus
294 Continental Ave,7661,River Edge,NJ,Bergen,40.935364,-74.041524,SingleFamily,2015,428898,1976,6299,2352,2,3,5/1/17,445000,43381,city,River Edge
8 Fordham Rd,7436,Oakland,NJ,Bergen,41.032361,-74.224416,SingleFamily,2015,399118,1955,11587,2097,NA,NA,5/1/17,620000,19724,city,Oakland
628 Lincoln Blvd,7675,Westwood,NJ,Bergen,40.979457,-74.040384,SingleFamily,2015,367045,1942,5998,1764,2,4,5/1/17,499900,27912,city,Westwood
