street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
2 Baldwin Ave,7304,Jersey City,NJ,Hudson,40.72163,-74.065507,MultiFamily2To4,2015,186876,NA,1720,NA,3,7,5/2/17,535000,274464,neighborhood,McGinley Square
425 Egret Ln,7094,Secaucus,NJ,Hudson,40.787301,-74.076457,Condominium,2015,263041,1976,NA,1347,2,2,5/2/17,345000,33911,city,Secaucus
410 Jefferson St APT 1L,7030,Hoboken,NJ,Hudson,40.742751,-74.037059,Condominium,2015,255864,NA,510,510,1,1,5/1/17,385000,25146,city,Hoboken
12 Linden Ave,7305,Jersey City,NJ,Hudson,40.692314,-74.088741,MultiFamily5Plus,2015,283144,NA,NA,NA,1,2,5/1/17,1200,189019,neighborhood,Greenville
405 2nd St APT 3L,7302,Jersey City,NJ,Hudson,40.723213,-74.051577,Condominium,2015,247835,1900,NA,578,1,2,5/1/17,420000,273483,neighborhood,Downtown
126 Webster Ave APT 2D,7307,Jersey City,NJ,Hudson,40.742739,-74.046738,Condominium,2015,314123,NA,NA,1387,1,2,5/1/17,650000,275707,neighborhood,The Heights
1450 Washington St APT 521,7030,Hoboken,NJ,Hudson,40.753839,-74.02596,MultiFamily2To4,2015,538001,2012,NA,749,1,1,4/28/17,690000,25146,city,Hoboken
210 Jackson St APT 3,7030,Hoboken,NJ,Hudson,40.740754,-74.040633,Condominium,2015,639491,2000,1258,1258,2,2,4/28/17,839500,25146,city,Hoboken
4801 Palisade Ave APT 3B,7087,Union City,NJ,Hudson,40.780879,-74.019792,Condominium,2015,337838,2005,1980,1300,2,2,4/28/17,322000,54791,city,Union City
612 Jersey Ave # 2,7302,Jersey City,NJ,Hudson,40.724921,-74.045451,Condominium,2015,161226,NA,NA,600,1,1,4/28/17,491000,273483,neighborhood,Downtown
124 Madison St APT 3L,7030,Hoboken,NJ,Hudson,40.739832,-74.039026,Condominium,2015,328258,NA,NA,550,1,1,4/28/17,430000,25146,city,Hoboken
384 Whimbrel Ln,7094,Secaucus,NJ,Hudson,40.786345,-74.075944,Condominium,2016,308841,1970,NA,1861,3,3,4/28/17,436000,33911,city,Secaucus
4514 Smith Ave # 4-2A,7047,North Bergen,NJ,Hudson,40.781289,-74.026777,Condominium,2015,211990,1986,867,867,NA,NA,4/27/17,214900,245503,neighborhood,Meadowview
40 Willow Ter,7030,Hoboken,NJ,Hudson,40.745227,-74.033019,SingleFamily,2015,624492,1901,622,864,1,3,4/26/17,837500,25146,city,Hoboken
219 Clendenny Ave,7304,Jersey City,NJ,Hudson,40.720618,-74.086862,SingleFamily,2015,283144,NA,2026,1447,2,3,4/26/17,355000,276653,neighborhood,West Side
1425 Garden St APT 303,7030,Hoboken,NJ,Hudson,40.753737,-74.027336,Condominium,2015,680311,2009,1141,1145,1.5,1,4/25/17,750000,25146,city,Hoboken
7423 Durham Ave,7047,North Bergen,NJ,Hudson,40.802231,-74.015648,SingleFamily,2015,186995,NA,NA,NA,NA,3,4/25/17,280000,40038,city,North Bergen
129 Franklin St APT B1,7307,Jersey City,NJ,Hudson,40.647879,-74.1898,Condominium,NA,NA,NA,NA,NA,1,2,NA,NA,31388,city,Elizabeth
212 William St,7029,Harrison,NJ,Hudson,40.74842,-74.159607,SingleFamily,2015,177549,2005,2613,1780,3,3,4/24/17,340000,8762,city,Harrison
1604 Central Ave,7087,Union City,NJ,Hudson,40.763504,-74.038113,MultiFamily2To4,2015,375376,NA,2700,NA,4,6,4/24/17,500000,54791,city,Union City
503 Bloomfield St # 1,7030,Hoboken,NJ,Hudson,40.742473,-74.030006,Condominium,2015,835927,1882,NA,1236,3,2,4/24/17,967000,25146,city,Hoboken
56 Storms Ave,7306,Jersey City,NJ,Hudson,40.722312,-74.067469,SingleFamily,2015,251832,NA,NA,NA,2,5,4/24/17,274000,274464,neighborhood,McGinley Square
1204 86th St,7047,North Bergen,NJ,Hudson,40.809019,-74.009045,SingleFamily,2015,165382,NA,2500,NA,2,3,4/24/17,312000,40038,city,North Bergen
1500 Hudson St APT 8A,7030,Hoboken,NJ,Hudson,40.754274,-74.024783,Condominium,2015,466847,NA,740,740,1,1,4/21/17,625000,25146,city,Hoboken
1108 Park Ave APT 3R,7030,Hoboken,NJ,Hudson,40.75088,-74.029897,Condominium,2015,472485,NA,NA,812,1,2,4/21/17,555000,25146,city,Hoboken
305 Saint Michaels Walk,7087,Union City,NJ,Hudson,40.765158,-74.037056,Condominium,2015,235951,2005,NA,1116,2,2,4/21/17,321500,54791,city,Union City
149 Essex St # 1503,7302,Jersey City,NJ,Hudson,40.713062,-74.041152,Condominium,2015,34644,NA,37239,968,NA,NA,6/30/11,455000,273483,neighborhood,Downtown
1602 75th St,7047,North Bergen,NJ,Hudson,40.803606,-74.017665,SingleFamily,2015,256155,NA,3402,NA,NA,3,4/21/17,390000,40038,city,North Bergen
110 Grant Ave,7029,Harrison,NJ,Hudson,40.748486,-74.161993,SingleFamily,NA,NA,1960,2500,NA,2,6,4/20/17,325000,8762,city,Harrison
527 78th St,7047,North Bergen,NJ,Hudson,40.801474,-74.008766,SingleFamily,2015,216313,1926,3333,1361,3,3,4/20/17,529000,762011,neighborhood,Racetrack
88 Morgan St APT 2308,7302,Jersey City,NJ,Hudson,40.719844,-74.035942,Condominium,2015,6995,NA,75542,837,1,1,11/10/16,707000,275730,neighborhood,The Waterfront
811 Montgomery St APT 2L,7306,Jersey City,NJ,Hudson,40.726229,-74.071033,Condominium,2015,258494,1904,3498,861,1,1,8/30/07,245000,274464,neighborhood,McGinley Square
277 4th St,7302,Jersey City,NJ,Hudson,40.72394,-74.046483,SingleFamily,2015,443038,NA,1899,NA,NA,NA,NA,NA,273483,neighborhood,Downtown
60 Erie St APT 306,7302,Jersey City,NJ,Hudson,40.723461,-74.043967,Condominium,2015,410060,NA,9901,1172,2,3,8/9/16,819000,273483,neighborhood,Downtown
263 Armstrong Ave,7305,Jersey City,NJ,Hudson,40.705186,-74.090957,SingleFamily,2015,261826,NA,1938,NA,1.5,4,11/3/16,329000,189019,neighborhood,Greenville
187 Liberty Ave,7306,Jersey City,NJ,Hudson,40.743288,-74.061956,MultiFamily2To4,2015,333112,NA,3825,890,4,6,1/26/17,475000,275707,neighborhood,The Heights
145 Sherman Ave APT 1R,7307,Jersey City,NJ,Hudson,40.745839,-74.046505,Condominium,2016,205573,NA,2800,830,1,2,9/21/16,278000,275707,neighborhood,The Heights
353 Webster Ave,7307,Jersey City,NJ,Hudson,40.750657,-74.042515,SingleFamily,2015,406395,NA,23099,NA,2,4,9/9/16,775000,275707,neighborhood,The Heights
