street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
13 Beacon Hill Dr,7930,Chester,NJ,Morris,40.753944,-74.67405,SingleFamily,2011,1502700,1992,130680,6148,6,6,6/14/93,725000,395751,city,Chester Township
28 Greenwood Ave,7928,Chatham,NJ,Morris,40.728839,-74.396144,SingleFamily,2015,1094511,1938,12196,4438,6,5,5/2/17,1750000,41940,city,Chatham
4 Kenmuir Ave,7960,Morristown,NJ,Morris,40.803786,-74.489079,SingleFamily,2015,449082,1927,6534,1870,2,4,5/2/17,500000,53420,city,Morristown
79 School House Rd,7438,Oak Ridge,NJ,Morris,41.030384,-74.527589,SingleFamily,2015,450892,1998,20995,2794,2.5,4,5/1/17,455000,12117,city,Jefferson Township
21 Bonnieview Ln,7082,Towaco,NJ,Morris,40.930417,-74.359765,SingleFamily,2015,783364,2002,55756,NA,3.5,5,5/1/17,4900,43583,city,Montville
36 Ranney Rd,7853,Long Valley,NJ,Morris,40.802368,-74.761778,SingleFamily,2015,668200,1992,88862,3900,4.5,4,5/1/17,610000,49769,city,Long Valley
10 Little Doe Run,7438,Oak Ridge,NJ,Morris,41.031943,-74.498897,SingleFamily,2015,369169,1996,7405,2011,3,4,4/29/17,390000,12117,city,Jefferson Township
15 Ardsleigh Dr,7940,Madison,NJ,Morris,40.766788,-74.426033,SingleFamily,2015,560711,1950,8712,NA,2,4,4/28/17,600000,53105,city,Madison
38 Central Ave,7940,Madison,NJ,Morris,40.760191,-74.413439,SingleFamily,2015,344950,2014,4791,2977,5,5,4/28/17,1075000,53105,city,Madison
58 Pembrooke Rd,7928,Chatham,NJ,Morris,40.713162,-74.423285,SingleFamily,2015,1027130,1996,30927,3100,4,4,4/28/17,975000,397771,city,Chatham Township
29 Sanders St,7950,Morris Plains,NJ,Morris,40.819534,-74.485272,SingleFamily,2015,273593,1948,3920,NA,2,4,4/28/17,405000,398997,city,Morris Township
70 Hillcrest Dr,7834,Denville,NJ,Morris,40.912742,-74.47828,SingleFamily,2015,830808,2006,20908,3300,4,3,4/28/17,725000,29899,city,Denville
28 Jennifer Dr,7936,East Hanover,NJ,Morris,40.809714,-74.365856,Condominium,2015,300736,1996,NA,NA,2,3,4/28/17,350000,8759,city,East Hanover
40 N Ridge Rd,7834,Denville,NJ,Morris,40.843085,-74.522155,SingleFamily,2015,1006266,1987,38332,NA,4,5,4/28/17,615000,29899,city,Denville
4107 Ramapo Ct,7457,Riverdale,NJ,Morris,40.9881,-74.3155,Condominium,2015,260343,2012,NA,862,1,2,4/28/17,255000,13534,city,Riverdale
3 York St,7045,Montville,NJ,Morris,40.891897,-74.351171,SingleFamily,2015,540835,1966,35283,2336,4,3,4/28/17,601000,43583,city,Montville
13 White Meadow Rd,7866,Rockaway,NJ,Morris,40.913164,-74.51147,SingleFamily,2015,340601,1962,8712,2280,NA,4,4/28/17,200000,396484,city,Rockaway Township
1018 Scenic Dr,7438,OAK RIDGE,NJ,Morris,41.050114,-74.530042,VacantResidentialLand,2015,101764,2016,43560,NA,NA,4,4/28/17,457000,12117,city,Jefferson Township
2 River Park Ct,7981,Whippany,NJ,Morris,40.827824,-74.420388,SingleFamily,2015,1000105,2006,37897,4864,4,5,4/28/17,856000,189064,city,Hanover
521 Boyd St,7005,Boonton,NJ,Morris,40.895873,-74.405914,SingleFamily,2015,251626,1956,10454,780,1,2,4/28/17,250000,3752,city,Boonton
19 Sylvan Dr,7058,Pine Brook,NJ,Morris,40.870243,-74.343925,SingleFamily,2015,609451,1968,20037,2487,3,3,4/28/17,630000,42807,city,Pine Brook
36 Oak Knoll Rd,7945,Mendham,NJ,Morris,40.785579,-74.642066,SingleFamily,2015,1036394,1973,218148,4073,NA,NA,4/28/17,982250,397829,city,Mendham Township
60 Shongum Rd,7869,Randolph,NJ,Morris,40.850419,-74.53554,SingleFamily,2015,392180,1960,24829,NA,3,4,4/28/17,489000,13437,city,Randolph
23 Hemlock Dr,7853,Long Valley,NJ,Morris,40.809094,-74.784996,SingleFamily,2015,384700,1968,28313,3072,3,5,4/28/17,412058,49769,city,Long Valley
9 Bell Ct,7850,Landing,NJ,Morris,40.908411,-74.656124,MultiFamily2To4,2015,233267,1950,7022,1816,2,5,4/28/17,275000,398431,city,Roxbury Township
11 Arbor Way,7853,Long Valley,NJ,Morris,40.834553,-74.770902,SingleFamily,2015,525900,1991,81021,3175,4,4,4/28/17,475000,49769,city,Long Valley
72 Toby Dr,7876,Succasunna,NJ,Morris,40.842873,-74.667465,SingleFamily,2015,424912,1968,14810,2567,3,4,4/28/17,438000,47885,city,Succasunna
120 Shawnee Path,7946,Millington,NJ,Morris,40.68379,-74.52389,SingleFamily,NA,NA,1982,30927,4800,5,4,4/27/17,950000,397220,city,Long Hill Township
24 Surrey Ln,7940,Madison,NJ,Morris,40.770205,-74.397469,SingleFamily,2015,521087,1955,7405,NA,2,3,4/27/17,565000,53105,city,Madison
311 Pine St,7005,Boonton,NJ,Morris,40.909913,-74.414653,SingleFamily,2015,402415,2002,6098,2007,3,4,4/27/17,470000,3752,city,Boonton
3 Vanderhoof Rd,7045,Montville,NJ,Morris,40.900466,-74.368386,Condominium,2015,339843,1994,NA,NA,3,2,4/27/17,355000,43583,city,Montville
11 Oneida Ave,7866,Rockaway,NJ,Morris,40.916724,-74.519719,SingleFamily,2015,263802,1965,7405,NA,2,3,4/27/17,285000,396484,city,Rockaway Township
142 Crescent Rd,7932,Florham Park,NJ,Morris,40.788234,-74.378827,SingleFamily,2015,640900,1972,16988,2340,3,4,4/27/17,655000,38545,city,Florham Park
1 Chilton Rd,7930,Chester,NJ,Morris,40.756419,-74.688192,SingleFamily,2015,1155160,1992,108028,5300,5,5,4/27/17,942000,395751,city,Chester Township
2 Rebecca Ct,7869,Randolph,NJ,Morris,40.849719,-74.548818,SingleFamily,2015,647516,1994,45302,2921,3,4,4/27/17,650000,13437,city,Randolph
105 Lake Shore Dr,7866,Rockaway,NJ,Morris,40.919275,-74.52095,SingleFamily,2015,384103,1970,12196,2367,3,3,4/26/17,435018,396484,city,Rockaway Township
36 Willow Ave,7866,Rockaway,NJ,Morris,40.90281,-74.522508,SingleFamily,2015,367168,1963,9527,1875,NA,NA,4/26/17,365000,396484,city,Rockaway Township
33 Mountainside Ave,7460,Stockholm,NJ,Morris,41.064934,-74.528348,SingleFamily,2015,215740,1945,13503,NA,1,3,4/26/17,55000,272593,city,Hardyston
32 Callahan St,7936,East Hanover,NJ,Morris,40.830582,-74.359217,SingleFamily,2015,378573,1958,25700,NA,1,3,4/26/17,400000,8759,city,East Hanover
531 Logan Dr,7850,Landing,NJ,Morris,40.912136,-74.651989,SingleFamily,2015,248361,1966,8276,1392,2,3,4/26/17,265000,398431,city,Roxbury Township
42 Springhill Rd,7869,Randolph,NJ,Morris,40.834134,-74.551325,SingleFamily,2015,504103,1974,21780,2538,3,4,4/26/17,550000,13437,city,Randolph
66 Connelly Ave,7828,Budd Lake,NJ,Morris,40.879112,-74.723421,SingleFamily,2015,324500,1997,10890,NA,3,3,4/26/17,340000,35236,city,Budd Lake
30 Tiger Lily Ln,7960,Morristown,NJ,Morris,40.764734,-74.494336,SingleFamily,2015,452495,1974,106722,NA,2,3,4/25/17,505000,397524,city,Harding Township
21 Allister Ct,7035,Lincoln Park,NJ,Morris,40.924815,-74.313352,Condominium,2015,293700,2000,218,1680,3,3,4/25/17,325000,25599,city,Lincoln Park
38 Calais Rd,7869,Randolph,NJ,Morris,40.82726,-74.593611,SingleFamily,2015,339054,1976,36154,NA,3,4,4/25/17,365000,13437,city,Randolph
15 Chickadee Rd,7828,Budd Lake,NJ,Morris,40.864696,-74.75789,SingleFamily,2015,215100,1968,19998,1832,2.5,3,4/25/17,290000,35236,city,Budd Lake
95 Sherwood Ln,7980,Stirling,NJ,Morris,40.683985,-74.499459,SingleFamily,2015,945289,1979,45302,3800,4,4,4/24/17,885000,397220,city,Long Hill Township
17 Ralph Pl,7960,Morristown,NJ,Morris,40.808814,-74.485831,SingleFamily,2015,345025,1954,7840,1300,2,2,4/24/17,380000,53420,city,Morristown
8 Merrie Trl,7834,Denville,NJ,Morris,40.892986,-74.486836,SingleFamily,2015,300058,1923,5227,1440,2,3,4/24/17,270000,29899,city,Denville
