street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
111 6th St,7011,Clifton,NJ,Passaic,40.876874,-74.153015,SingleFamily,2015,306306,1935,5331,2300,2,3,5/2/17,375000,24120,city,Clifton
69 Sperling Rd,7013,Clifton,NJ,Passaic,40.876895,-74.181089,SingleFamily,2015,270447,1952,4791,NA,2,4,5/2/17,305000,24120,city,Clifton
55 Eleron Pl,7470,Wayne,NJ,Passaic,40.941017,-74.241608,SingleFamily,2015,441898,1960,21780,2166,4,4,5/1/17,569000,27808,city,Wayne
33 Rillo Dr,7470,Wayne,NJ,Passaic,40.940544,-74.230477,SingleFamily,2015,431614,1961,16117,1898,3,3,5/1/17,495000,27808,city,Wayne
366 Lafayette Ave,7055,PASSAIC,NJ,Passaic,40.858798,-74.134872,MultiFamily2To4,2015,379608,1900,NA,NA,4,10,5/1/17,330000,19870,city,Passaic
1454 Madison Pl,7442,Pompton Lakes,NJ,Passaic,40.986237,-74.281706,SingleFamily,2015,262976,1950,6969,NA,2,3,4/28/17,232500,53952,city,Pompton Lakes
15 Jessica Way,7470,Wayne,NJ,Passaic,40.950946,-74.258995,SingleFamily,2015,652292,1985,14810,2967,4,5,4/28/17,756000,27808,city,Wayne
148 Stewart Ter,7512,Totowa,NJ,Passaic,40.901012,-74.21859,SingleFamily,2015,319400,1950,4791,NA,1,3,4/28/17,340000,27446,city,Totowa
30 Merselis Ave,7011,Clifton,NJ,Passaic,40.88637,-74.133794,MultiFamily2To4,2015,323088,1950,4791,NA,2,4,4/28/17,410000,24120,city,Clifton
271 Levinberg Ln,7470,Wayne,NJ,Passaic,40.964305,-74.252487,Condominium,2015,455431,2003,NA,2389,3,3,4/28/17,479000,27808,city,Wayne
35 Overlook Ave,7424,Little Falls,NJ,Passaic,40.876345,-74.208598,SingleFamily,2015,461147,1950,6098,NA,4,4,4/28/17,505000,43491,city,Little Falls
82 Mountainside Dr,7442,Pompton Lakes,NJ,Passaic,41.010799,-74.288497,Condominium,2015,216697,2003,3484,NA,2,2,4/28/17,295000,53952,city,Pompton Lakes
1 Oak Ln,7456,Ringwood,NJ,Passaic,41.066779,-74.278732,SingleFamily,2015,270234,1954,4791,NA,2,4,4/28/17,300000,47392,city,Ringwood
155 Bogert St,7512,Totowa,NJ,Passaic,40.901382,-74.218541,SingleFamily,2015,264600,1954,6098,NA,1,3,4/28/17,318000,27446,city,Totowa
22 Sunnycrest Ave,7013,Clifton,NJ,Passaic,40.864131,-74.165023,SingleFamily,2015,310899,1949,4791,NA,2,3,4/27/17,376000,24120,city,Clifton
46 Boonstra Dr,7470,Wayne,NJ,Passaic,40.924564,-74.208877,SingleFamily,2015,433959,1965,14810,2416,3,4,4/27/17,505000,27808,city,Wayne
10 Cottage Ln,7012,Clifton,NJ,Passaic,40.843723,-74.161468,SingleFamily,2015,268328,1950,4791,5001,1,3,4/26/17,325000,24120,city,Clifton
18 Dudley Ct,7470,Wayne,NJ,Passaic,40.977732,-74.230341,SingleFamily,2015,653013,1993,12197,3000,4,4,4/26/17,695000,27808,city,Wayne
58 Lakeview Ct,7442,Pompton Lakes,NJ,Passaic,40.994472,-74.280097,Townhouse,2015,265880,2000,NA,NA,2.5,2,4/25/17,332500,53952,city,Pompton Lakes
19 Ploch Rd,7013,Clifton,NJ,Passaic,40.882917,-74.173066,SingleFamily,2015,305070,1960,5227,NA,2,3,4/24/17,296900,24120,city,Clifton
1206 Warrens Way,7465,Wanaque,NJ,Passaic,41.046247,-74.283181,Condominium,2015,284069,2012,NA,1768,2,2,4/24/17,313000,30048,city,Wanaque
