street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
1591 Deer Path,7092,Mountainside,NJ,union,40.673081,-74.380543,SingleFamily,2015,815450,1977,30056,NA,3,4,5/3/17,699900,39910,city,Mountainside
719 Colonial Arms Rd,7083,Union,NJ,union,40.680218,-74.248453,SingleFamily,2015,276045,1956,5662,2000,2,3,5/2/17,369000,20883,city,Union
91 Passaic Ave,7901,Summit,NJ,union,40.719699,-74.384132,SingleFamily,2015,456862,1954,8712,1,2,3,5/2/17,605000,27319,city,Summit
311 Baker Ave,7090,Westfield,NJ,union,40.661429,-74.3444,SingleFamily,2015,935587,1952,11325,NA,3,4,5/2/17,925000,27896,city,Westfield
618 Maple St,7090,Westfield,NJ,union,40.659373,-74.346008,SingleFamily,2015,530815,1922,6534,NA,3,4,5/1/17,720800,27896,city,Westfield
1045 Norton Rd,7083,Union,NJ,union,40.690982,-74.246535,SingleFamily,2015,324897,1929,7840,8000,3,5,4/28/17,395000,20883,city,Union
12 Green Hickory Hl,7076,Scotch Plains,NJ,union,40.620516,-74.362507,SingleFamily,2015,821972,1978,40946,3400,4,5,4/28/17,775000,20391,city,Scotch Plains
17 Princeton Rd,7016,Cranford,NJ,union,40.668243,-74.3215,SingleFamily,2015,566113,1960,10890,2600,3,3,4/28/17,599900,31092,city,Cranford
16 Burnside Ave,7016,Cranford,NJ,union,40.652506,-74.311941,SingleFamily,2015,293471,1904,5662,1280,2,3,4/28/17,435000,31092,city,Cranford
100 Park Ave,7901,Summit,NJ,union,40.712987,-74.349403,SingleFamily,2015,368127,2013,4900,1200,2,3,4/28/17,440000,27319,city,Summit
11 Lenox Rd,7901,Summit,NJ,union,40.718372,-74.347374,SingleFamily,2015,2679929,1914,34412,4868,7,8,4/28/17,2300000,27319,city,Summit
2173 Whittier St,7065,Rahway,NJ,union,40.617856,-74.272306,SingleFamily,2015,193297,1940,7313,1192,1,3,4/28/17,139000,8854,city,Rahway
