street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
34 Gaisler Rd,7825,Blairstown,NJ,warren,41.035044,-74.976688,SingleFamily,2015,258813,1976,42688,NA,2,4,5/1/17,236000,35008,city,Blairstown
19 Park Sq,8865,Phillipsburg,NJ,warren,40.704317,-75.189099,SingleFamily,2015,164500,1925,15785,1075,1,3,4/28/17,85000,32570,city,Lopatcong
102 Stadelman Ave,7823,Belvidere,NJ,warren,40.831626,-75.075637,SingleFamily,2015,168219,1983,28313,1746,2,4,4/28/17,163000,9669,city,Belvidere
7 Rushmore Ln,7840,Hackettstown,NJ,warren,40.913654,-74.829469,Townhouse,2015,134069,1990,1350,756,2,1,4/28/17,130000,396176,city,Allamuchy-Panther Valley
88 Barkers Mill Rd,7840,Hackettstown,NJ,warren,40.852019,-74.888689,SingleFamily,2015,304600,1987,45737,2496,2.5,4,4/28/17,289900,398130,city,Independence Township
161 Washington St,8865,Phillipsburg,NJ,warren,40.690334,-75.197804,SingleFamily,2015,136266,1900,5881,2698,2,4,4/26/17,116000,53876,city,Phillipsburg
158 Belt Rd,8865,Phillipsburg,NJ,warren,40.673937,-75.172853,SingleFamily,2015,133100,1960,7405,852,1,3,4/26/17,145000,53876,city,Phillipsburg
5 Carriage Rd,7840,Hackettstown,NJ,warren,40.863563,-74.806774,SingleFamily,2015,381000,2008,8712,NA,3,4,4/26/17,400000,5027,city,Hackettstown
9 Parkview Dr,7840,Hackettstown,NJ,warren,40.817911,-74.856965,SingleFamily,2015,236254,1966,21780,1582,2,3,4/24/17,272000,396692,city,Beatyestown
60 Stony Brook Rd,7825,Blairstown,NJ,warren,41.003219,-75.007139,SingleFamily,2015,279000,1974,92782,2221,3,3,4/21/17,289000,35008,city,Blairstown
107 Indigo Rd,7840,Hackettstown,NJ,warren,40.911036,-74.84927,Townhouse,2015,286409,2013,NA,1504,3,3,4/21/17,255000,396176,city,Allamuchy-Panther Valley
50 Canada Goose Dr,7840,Hackettstown,NJ,warren,40.903476,-74.856202,SingleFamily,2015,353011,1998,11325,1697,4,3,4/21/17,395000,396176,city,Allamuchy-Panther Valley
412 Sussex St,8865,Phillipsburg,NJ,warren,40.677162,-75.154048,SingleFamily,2015,209217,1950,13068,2136,2,3,4/20/17,204900,395813,city,Pohatcong Township
107 Stone Xing,8886,Stewartsville,NJ,warren,40.664998,-75.109609,SingleFamily,2015,465087,1994,40075,3440,3,4,4/20/17,426000,399001,city,Greenwich Township
23 Roosevelt Ave,7840,Hackettstown,NJ,warren,40.854555,-74.840776,SingleFamily,2015,196740,1862,21344,1534,2,3,4/20/17,67500,398130,city,Independence Township
623 Sampson Ave,8865,Phillipsburg,NJ,warren,40.663854,-75.159871,MultiFamily2To4,2015,128100,1900,87991,NA,2,2,4/18/17,95000,43866,city,Alpha
